iter	Passed	Remaining
1164	17163	130166
1165	17177	130146
1166	17191	130121
1167	17204	130097
1168	17218	130074
1169	17232	130054
1170	17246	130030
1171	17260	130010
1172	17276	130006
1173	17290	129986
1174	17304	129965
1175	17317	129941
1176	17331	129917
1177	17344	129894
1178	17359	129877
1179	17372	129853
1180	17386	129831
1181	17399	129806
1182	17413	129784
1183	17427	129764
1184	17441	129745
1185	17455	129722
1186	17469	129703
1187	17483	129684
1188	17496	129657
1189	17510	129638
1190	17524	129618
1191	17538	129596
1192	17552	129575
1193	17565	129550
1194	17579	129530
1195	17592	129505
1196	17606	129482
1197	17620	129462
1198	17634	129442
1199	17648	129418
1200	17661	129395
1201	17675	129373
1202	17688	129350
1203	17702	129330
1204	17716	129308
1205	17730	129286
1206	17743	129262
1207	17757	129239
1208	17771	129221
1209	17786	129209
1210	17800	129191
1211	17814	129172
1212	17828	129149
1213	17842	129129
1214	17855	129104
1215	17870	129093
1216	17884	129072
1217	17898	129054
1218	17912	129034
1219	17926	129014
1220	17941	128999
1221	17955	128981
1222	17970	128963
1223	17983	128940
1224	17997	128921
1225	18012	128905
1226	18025	128883
1227	18039	128862
1228	18053	128842
1229	18067	128823
1230	18081	128804
1231	18095	128781
1232	18108	128757
1233	18122	128734
1234	18136	128716
1235	18149	128694
1236	18163	128674
1237	18177	128654
1238	18191	128634
1239	18205	128612
1240	18219	128590
1241	18233	128571
1242	18246	128549
1243	18260	128529
1244	18274	128507
1245	18287	128483
1246	18301	128465
1247	18315	128445
1248	18329	128425
1249	18343	128401
1250	18357	128382
1251	18371	128363
1252	18384	128342
1253	18398	128320
1254	18412	128297
1255	18425	128275
1256	18439	128254
1257	18453	128238
1258	18467	128217
1259	18482	128201
1260	18495	128179
1261	18509	128159
1262	18523	128142
1263	18537	128122
1264	18551	128101
1265	18565	128078
1266	18578	128056
1267	18592	128033
1268	18607	128021
1269	18621	128001
1270	18634	127980
1271	18649	127964
1272	18663	127944
1273	18677	127926
1274	18691	127905
1275	18704	127885
1276	18719	127866
1277	18733	127847
1278	18747	127831
1279	18761	127810
1280	18779	127821
1281	18793	127804
1282	18807	127782
1283	18821	127761
1284	18834	127739
1285	18848	127720
1286	18862	127700
1287	18876	127678
1288	18889	127657
1289	18903	127637
1290	18917	127613
1291	18930	127593
1292	18944	127574
1293	18958	127551
